year_month,anomaly_c,lower_ci,upper_ci
1850-01,-0.7336947,-1.0366777,-0.4307117
1850-02,-0.36043638,-0.7184618,-0.0024109068
1850-03,-0.62713146,-0.9600218,-0.29424122
1850-04,-0.60529697,-0.88989735,-0.32069665
1850-05,-0.5315168,-0.7775925,-0.28544107
1850-06,-0.35174996,-0.6120542,-0.09144565
1850-07,-0.17554672,-0.41207892,0.060985498
1850-08,-0.22345923,-0.47512802,0.028209575
1850-09,-0.39381364,-0.653133,-0.1344943
1850-10,-0.5161555,-0.7641106,-0.26820034
1850-11,-0.27654734,-0.5357173,-0.017377373
1850-12,-0.32244864,-0.6017044,-0.043192882
1851-01,-0.26558566,-0.5639451,0.032773793
1851-02,-0.4673408,-0.7884826,-0.14619897
1851-03,-0.6410053,-0.93536747,-0.3466431
1851-04,-0.52828664,-0.806704,-0.24986924
1851-05,-0.22183678,-0.48615128,0.042477712
1851-06,-0.20733659,-0.48010302,0.06542984
1851-07,-0.13640964,-0.37385502,0.101035744
1851-08,-0.14756347,-0.40322018,0.10809321
1851-09,-0.1459551,-0.4145255,0.12261531
1851-10,-0.04530318,-0.30713618,0.21652982
1851-11,-0.10766979,-0.40714496,0.19180538
1851-12,-0.24792688,-0.56180733,0.06595359
1852-01,-0.34589827,-0.6479093,-0.04388728
1852-02,-0.49635816,-0.8297974,-0.16291896
1852-03,-0.5669252,-0.86989653,-0.26395386
1852-04,-0.5746308,-0.83953583,-0.30972576
1852-05,-0.11256703,-0.36344355,0.1383095
1852-06,-0.077197365,-0.32694462,0.1725499
1852-07,0.008964636,-0.2212547,0.23918398
1852-08,-0.14900333,-0.39383087,0.09582421
1852-09,-0.006418369,-0.25700605,0.24416931
1852-10,-0.15764527,-0.38465875,0.06936823
1852-11,-0.27521798,-0.53695756,-0.013478392
1852-12,0.064261936,-0.20954154,0.33806542
1853-01,-0.2041933,-0.49277508,0.08438848
1853-02,-0.3986166,-0.70145804,-0.09577517
1853-03,-0.2726406,-0.5629496,0.017668447
1853-04,-0.40107116,-0.6687572,-0.13338515
1853-05,-0.270081,-0.50515455,-0.03500745
1853-06,-0.124300465,-0.36884028,0.12023935
1853-07,-0.07192186,-0.2828045,0.13896076
1853-08,-0.039818063,-0.27389437,0.19425824
1853-09,-0.26639792,-0.4868962,-0.04589966
1853-10,-0.37279856,-0.5891658,-0.15643132
1853-11,-0.4007882,-0.6631693,-0.138407
1853-12,-0.32555756,-0.6220024,-0.029112665
1854-01,-0.40250707,-0.6516682,-0.15334594
1854-02,-0.39156428,-0.6702549,-0.11287367
1854-03,-0.24713284,-0.5207953,0.026529603
1854-04,-0.32695404,-0.5461949,-0.10771316
1854-05,-0.2774185,-0.47854334,-0.076293685
1854-06,-0.3021317,-0.5303107,-0.0739527
1854-07,-0.16190101,-0.36829916,0.04449715
1854-08,-0.23259757,-0.44015718,-0.02503797
1854-09,-0.2157878,-0.4242816,-0.007294006
1854-10,-0.09925922,-0.27518457,0.07666615
1854-11,-0.41205636,-0.67761177,-0.14650096
1854-12,-0.45369828,-0.7247001,-0.18269649
1855-01,-0.17031084,-0.42411336,0.08349169
1855-02,-0.31291005,-0.5875712,-0.038248908
1855-03,-0.34485918,-0.62308586,-0.066632524
1855-04,-0.21057838,-0.42891946,0.0077627054
1855-05,-0.36843798,-0.57342273,-0.16345319
1855-06,-0.3329686,-0.5523807,-0.1135565
1855-07,-0.31461516,-0.51128656,-0.11794379
1855-08,-0.20184189,-0.41281974,0.009135953
1855-09,-0.25861943,-0.44589004,-0.07134881
1855-10,-0.19998126,-0.4003653,0.0004027814
1855-11,-0.37381244,-0.62114066,-0.12648419
1855-12,-0.40770242,-0.66328734,-0.15211749
1856-01,-0.08278427,-0.31654686,0.1509783
1856-02,-0.34718993,-0.6091239,-0.085256025
1856-03,-0.3712111,-0.6387131,-0.10370912
1856-04,-0.31448796,-0.5196705,-0.10930543
1856-05,-0.292533,-0.49826312,-0.0868029
1856-06,-0.22521582,-0.44700146,-0.003430182
1856-07,-0.22290184,-0.42487812,-0.020925537
1856-08,-0.24855386,-0.46594125,-0.031166473
1856-09,-0.4017519,-0.6118972,-0.19160666
1856-10,-0.44604117,-0.64515567,-0.24692665
1856-11,-0.56131756,-0.81581324,-0.30682188
1856-12,-0.42309567,-0.69704294,-0.1491484
1857-01,-0.4942921,-0.7195398,-0.26904443
1857-02,-0.4418785,-0.7044221,-0.17933491
1857-03,-0.48833084,-0.7699693,-0.2066924
1857-04,-0.6748065,-0.9133899,-0.43622294
1857-05,-0.6539085,-0.8617711,-0.44604585
1857-06,-0.2911743,-0.51390046,-0.06844812
1857-07,-0.40410438,-0.6118036,-0.19640514
1857-08,-0.35559383,-0.5821909,-0.12899679
1857-09,-0.36829397,-0.5758638,-0.16072413
1857-10,-0.46698898,-0.6785295,-0.2554485
1857-11,-0.66211814,-0.91967493,-0.4045613
1857-12,-0.28878108,-0.5540215,-0.023540668
1858-01,-0.33611944,-0.59119225,-0.08104665
1858-02,-0.4876386,-0.7664248,-0.20885243
1858-03,-0.5660633,-0.8573529,-0.27477366
1858-04,-0.4297229,-0.66260254,-0.1968433
1858-05,-0.5225211,-0.7350427,-0.30999953
1858-06,-0.36000618,-0.59452546,-0.12548691
1858-07,-0.34052667,-0.5583669,-0.12268647
1858-08,-0.28751695,-0.5054329,-0.069601
1858-09,-0.2800979,-0.4909445,-0.06925127
1858-10,-0.29180503,-0.49655622,-0.08705383
1858-11,-0.40444997,-0.67143226,-0.1374677
1858-12,-0.4546053,-0.7283993,-0.18081135
1859-01,-0.4054151,-0.6393808,-0.17144936
1859-02,-0.3508319,-0.5967688,-0.10489497
1859-03,-0.32237455,-0.59292436,-0.051824767
1859-04,-0.18896715,-0.40800798,0.030073682
1859-05,-0.16987069,-0.37402934,0.034287956
1859-06,-0.24007069,-0.46177712,-0.018364253
