year,month,day,lat,lon,city,country,shape,duration_sec
1950,1,2,40.714,-74.006,new york city,us,oval,900
1950,7,15,40.736,-74.173,newark,us,sphere,300
1951,7,1,33.749,-84.388,atlanta,us,unknown,120
1952,6,15,33.987,-118.184,maywood,us,circle,300
1952,7,15,47.496,-121.786,north bend,us,other,180
1953,4,1,42.375,-71.106,cambridge,us,sphere,180
1953,8,1,38.754,-90.331,berkeley,us,fireball,300
1954,6,1,41.664,-83.555,toledo,us,disk,60
1954,7,15,39.952,-75.164,philadelphia,us,disk,3600
1954,11,14,31.583,-96.611,thelma (south of),us,disk,300
1955,6,30,35.866,-101.973,dumas,us,light,600
1956,5,15,28.19,-80.601,pine castle afb,,light,2700
1956,6,30,29.763,-95.363,houston,us,triangle,900
1957,1,1,32.783,-96.8,dallas,us,unknown,20
1957,6,30,42.547,-83.211,birmingham,us,unknown,300
1957,7,15,39.1,-94.578,kansas city,us,light,10800
1957,9,20,36.866,-87.489,hopkinsville,us,cigar,600
1958,5,16,39.162,-84.457,cincinnati,us,diamond,86400
1958,6,30,29.796,-90.823,thibodaux,us,fireball,90
1959,4,15,40.776,-74.601,mendham,us,disk,300
1959,6,30,40.714,-74.006,new york city (bronx),us,oval,1200
1959,9,15,39.474,-118.776,fallon,us,oval,7200
1960,6,1,39.865,-75.568,chadd&#39s ford,,cylinder,5
1960,6,30,51.514,-0.094,london (uk/england),gb,triangle,25
1960,8,15,42.279,-71.417,framingham,us,oval,1200
1961,5,1,47.307,-122.227,auburn,us,cigar,300
1961,7,16,42.088,-87.981,arlington heights,us,disk,1500
1961,12,17,27.895,-81.973,bartow/mulberry,,sphere,1500
1962,6,1,37.997,-88.92,benton,us,disk,900
1962,7,15,41.85,-87.65,chicago,us,other,1800
1962,9,1,47.606,-122.331,seattle,us,circle,180
1963,3,15,42.309,-87.85,great lakes,,disk,900
1963,6,1,33.542,-117.782,laguna beach (south),us,light,120
1963,6,30,33.835,-117.914,anaheim,us,disk,1200
1963,7,15,45.524,-122.675,portland,us,sphere,1200
1963,12,10,34.257,-85.165,rome,us,oval,1200
1964,6,1,35.46,-94.787,sallisaw,us,light,1800
1964,6,30,40.393,-90.155,lewistown,us,other,120
1964,8,4,42.358,-71.06,boston,us,circle,3600
1964,10,5,44.353,-121.177,terrebonne,us,cigar,600
1965,4,20,28.538,-81.379,orlando,us,disk,900
1965,6,1,39.904,116.408,beijing (china),,sphere,300
1965,6,15,34.167,132.219,ewakuni (japan),,light,300
1965,7,1,32.625,-115.452,mexicali&#44 baja california (mexico),,circle,60
1965,7,15,42.231,-96.097,hornick,us,fireball,120
1965,8,2,40.441,-79.996,pittsburgh,us,oval,20
1965,8,15,41.291,-87.421,lowell,us,sphere,1800
1965,10,10,51.435,-3.18,penarth (uk/wales),gb,circle,180
1965,12,1,41.7,-73.921,poughkeepsie,us,triangle,300
1966,2,1,41.033,-81.249,randolph,us,oval,10
1966,4,15,43.727,-101.984,interior (near),us,disk,900
1966,6,1,41.85,-87.65,chicago,us,disk,300
1966,6,12,42.629,-85.024,vermontville,us,oval,2
1966,6,21,35.233,-97.212,little axe,us,light,300
1966,7,1,39.158,-75.525,dover,us,disk,300
1966,7,15,42.67,-71.302,dracut,us,circle,1200
1966,8,22,47.454,-122.321,seatac,us,unknown,120
1966,9,30,38.419,-82.445,huntington,us,circle,60
1966,11,12,30.332,-81.656,jacksonville,us,chevron,15
1967,3,10,44.271,-71.306,mt. washington,,circle,120
1967,5,5,26.0,-80.167,hallandale/hollywood,,triangle,600
1967,6,1,47.203,-122.239,sumner,us,formation,900
1967,6,15,36.01,-84.27,oak ridge,us,sphere,720
1967,7,1,27.8,-97.396,corpus christi,us,other,600
1967,8,1,33.94,-118.132,downey (north american aviation),us,unknown,120
1967,8,20,38.722,-86.671,huron,us,cigar,300
1967,9,15,38.441,-122.713,santa rosa,us,circle,7
1967,10,15,34.172,-118.378,north hollywood,us,fireball,900
1968,1,1,16.054,108.202,da nang (viet nam),,unknown,600
